trial,fase,a_letter_1,a_quad_1,a_letter_2,a_quad_2,a_letter_3,a_quad_3,a_letter_4,a_quad_4,b_op_1,b_correct_1,b_op_2,b_correct_2,b_op_3,b_correct_3,b_op_4,b_correct_4,c_letter_1,c_quad_1,c_correct_1,c_letter_2,c_quad_2,c_correct_2,c_letter_3,c_quad_3,c_correct_3,c_letter_4,c_quad_4,c_correct_4,stageA_img_1,stageA_img_2,stageA_img_3,stageA_img_4,stageB_img_1,stageB_img_2,stageB_img_3,stageB_img_4,stageC_img_1,stageC_img_2,stageC_img_3,stageC_img_4
11,1,T,BL,H,BR,V,TR,L,TL,9 + 8 = 16,False,4 + 2 = 6,True,9 + 4 = 11,False,4 + 4 = 8,True,L,BR,False,V,TL,False,H,TR,False,T,BL,True,f1_stageA_11_1.png,f1_stageA_11_2.png,f1_stageA_11_3.png,f1_stageA_11_4.png,f1_stageB_11_1.png,f1_stageB_11_2.png,f1_stageB_11_3.png,f1_stageB_11_4.png,f1_stageC_11_1.png,f1_stageC_11_2.png,f1_stageC_11_3.png,f1_stageC_11_4.png
12,1,D,TR,U,BR,B,TL,H,BL,3 + 9 = 12,True,7 + 5 = 12,True,6 + 9 = 17,False,5 + 6 = 10,False,B,BR,False,U,BL,False,D,TR,True,H,TL,False,f1_stageA_12_1.png,f1_stageA_12_2.png,f1_stageA_12_3.png,f1_stageA_12_4.png,f1_stageB_12_1.png,f1_stageB_12_2.png,f1_stageB_12_3.png,f1_stageB_12_4.png,f1_stageC_12_1.png,f1_stageC_12_2.png,f1_stageC_12_3.png,f1_stageC_12_4.png
13,1,R,TR,L,BR,C,TL,Y,BL,7 + 4 = 11,True,6 + 4 = 12,False,5 + 3 = 8,True,8 + 9 = 16,False,R,TR,True,C,BR,False,L,BL,False,Y,TL,False,f1_stageA_13_1.png,f1_stageA_13_2.png,f1_stageA_13_3.png,f1_stageA_13_4.png,f1_stageB_13_1.png,f1_stageB_13_2.png,f1_stageB_13_3.png,f1_stageB_13_4.png,f1_stageC_13_1.png,f1_stageC_13_2.png,f1_stageC_13_3.png,f1_stageC_13_4.png
14,1,G,BL,M,TL,L,TR,C,BR,8 + 7 = 15,True,6 + 3 = 9,True,3 + 5 = 6,False,3 + 6 = 10,False,C,TL,False,M,TR,False,G,BL,True,L,BR,False,f1_stageA_14_1.png,f1_stageA_14_2.png,f1_stageA_14_3.png,f1_stageA_14_4.png,f1_stageB_14_1.png,f1_stageB_14_2.png,f1_stageB_14_3.png,f1_stageB_14_4.png,f1_stageC_14_1.png,f1_stageC_14_2.png,f1_stageC_14_3.png,f1_stageC_14_4.png
15,1,Y,BR,J,BL,N,TR,E,TL,8 + 3 = 11,True,6 + 2 = 6,False,6 + 3 = 9,True,5 + 3 = 9,False,J,TL,False,E,TR,False,N,BL,False,Y,BR,True,f1_stageA_15_1.png,f1_stageA_15_2.png,f1_stageA_15_3.png,f1_stageA_15_4.png,f1_stageB_15_1.png,f1_stageB_15_2.png,f1_stageB_15_3.png,f1_stageB_15_4.png,f1_stageC_15_1.png,f1_stageC_15_2.png,f1_stageC_15_3.png,f1_stageC_15_4.png
16,1,D,TR,F,TL,J,BR,B,BL,4 + 6 = 10,True,7 + 2 = 10,False,2 + 2 = 2,False,5 + 9 = 14,True,B,BR,False,D,TR,True,J,TL,False,F,BL,False,f1_stageA_16_1.png,f1_stageA_16_2.png,f1_stageA_16_3.png,f1_stageA_16_4.png,f1_stageB_16_1.png,f1_stageB_16_2.png,f1_stageB_16_3.png,f1_stageB_16_4.png,f1_stageC_16_1.png,f1_stageC_16_2.png,f1_stageC_16_3.png,f1_stageC_16_4.png
17,1,N,TL,M,BR,B,TR,E,BL,8 + 6 = 13,False,6 + 2 = 10,False,4 + 4 = 8,True,6 + 9 = 15,True,M,BL,False,E,TR,False,N,TL,True,B,BR,False,f1_stageA_17_1.png,f1_stageA_17_2.png,f1_stageA_17_3.png,f1_stageA_17_4.png,f1_stageB_17_1.png,f1_stageB_17_2.png,f1_stageB_17_3.png,f1_stageB_17_4.png,f1_stageC_17_1.png,f1_stageC_17_2.png,f1_stageC_17_3.png,f1_stageC_17_4.png
18,1,K,TL,G,TR,M,BL,F,BR,5 + 2 = 5,False,6 + 3 = 9,True,4 + 8 = 12,True,2 + 8 = 8,False,G,BR,False,F,BL,False,M,TR,False,K,TL,True,f1_stageA_18_1.png,f1_stageA_18_2.png,f1_stageA_18_3.png,f1_stageA_18_4.png,f1_stageB_18_1.png,f1_stageB_18_2.png,f1_stageB_18_3.png,f1_stageB_18_4.png,f1_stageC_18_1.png,f1_stageC_18_2.png,f1_stageC_18_3.png,f1_stageC_18_4.png
19,1,Y,BL,Z,BR,W,TR,N,TL,2 + 8 = 10,True,4 + 2 = 6,True,5 + 3 = 6,False,2 + 4 = 7,False,Y,BL,True,W,BR,False,N,TR,False,Z,TL,False,f1_stageA_19_1.png,f1_stageA_19_2.png,f1_stageA_19_3.png,f1_stageA_19_4.png,f1_stageB_19_1.png,f1_stageB_19_2.png,f1_stageB_19_3.png,f1_stageB_19_4.png,f1_stageC_19_1.png,f1_stageC_19_2.png,f1_stageC_19_3.png,f1_stageC_19_4.png
20,1,A,TL,R,BL,C,BR,T,TR,5 + 5 = 9,False,9 + 9 = 18,True,8 + 3 = 11,True,9 + 6 = 13,False,T,BR,False,C,BL,False,R,TR,False,A,TL,True,f1_stageA_20_1.png,f1_stageA_20_2.png,f1_stageA_20_3.png,f1_stageA_20_4.png,f1_stageB_20_1.png,f1_stageB_20_2.png,f1_stageB_20_3.png,f1_stageB_20_4.png,f1_stageC_20_1.png,f1_stageC_20_2.png,f1_stageC_20_3.png,f1_stageC_20_4.png
